Region,City,Year,[SO2] in ug/m3 
NW,Ahmedabad,2001,10
PENINSULAR,Bangalore,2001,20
PENINSULAR,Chennai,2001,17
NW,Delhi,2001,13
WCR,Hyderabad,2001,10
NE,Kolkata,2001,18
WCR,Mumbai,2001,16
NW,Ahmedabad,2002,12.3
PENINSULAR,Bangalore,2002,13.4
PENINSULAR,Chennai,2002,19.9
NW,Delhi,2002,11.3
WCR,Hyderabad,2002,7.27
NE,Kolkata,2002,11.4
WCR,Mumbai,2002,9.07
NW,Ahmedabad,2003,16
PENINSULAR,Bangalore,2003,12
PENINSULAR,Chennai,2003,15
NW,Delhi,2003,10
WCR,Hyderabad,2003,6
NE,Kolkata,2003,17
WCR,Mumbai,2003,8
NW,Ahmedabad,2004,15.7
PENINSULAR,Bangalore,2004,8.5
PENINSULAR,Chennai,2004,12.2
NW,Delhi,2004,9.89
PENINSULAR,Hyderabad,2004,5.63
PENINSULAR,Kolkata,2004,9.33
NW,Mumbai,2004,6.67
WCR,Ahmedabad,2008,12.3
NE,Bangalore,2008,15.2
WCR,Chennai,2008,9.5
NW,Delhi,2008,6.6
PENINSULAR,Hyderabad,2008,5.5
PENINSULAR,Kolkata,2008,7
NW,Mumbai,2008,8.7
WCR,Ahmedabad,2009,16
NE,Bangalore,2009,14
WCR,Chennai,2009,9
NW,Delhi,2009,6
PENINSULAR,Hyderabad,2009,5
PENINSULAR,Kolkata,2009,11
NW,Mumbai,2009,6
WCR,Ahmedabad,2012,12
NE,Bangalore,2012,14
WCR,Chennai,2012,12
NW,Delhi,2012,5
PENINSULAR,Hyderabad,2012,4
PENINSULAR,Kolkata,2012,12
NW,Mumbai,2012,5
PENINSULAR,Ahmedabad,2013,12
NW,Bangalore,2013,13
PENINSULAR,Chennai,2013,14
PENINSULAR,Delhi,2013,4
NW,Hyderabad,2013,5
WCR,Kolkata,2013,11
NE,Mumbai,2013,3
WCR,Ahmedabad,2014,13
NW,Bangalore,2014,13
PENINSULAR,Chennai,2014,13
PENINSULAR,Delhi,2014,5
NW,Hyderabad,2014,5
WCR,Kolkata,2014,9
NE,Mumbai,2014,4
WCR,Ahmedabad,2015,13
NW,Bangalore,2015,6
PENINSULAR,Chennai,2015,13
PENINSULAR,Delhi,2015,5
NW,Hyderabad,2015,4
WCR,Kolkata,2015,7
NE,Mumbai,2015,4
WCR,Ahmedabad,2016,14
NW,Bangalore,2016,3
PENINSULAR,Chennai,2016,10
PENINSULAR,Delhi,2016,7
NW,Hyderabad,2016,4
WCR,Kolkata,2016,4
NE,Mumbai,2016,6
WCR,Ahmedabad,2017,14
NW,Bangalore,2017,2
PENINSULAR,Chennai,2017,9
NW,Delhi,2017,7
PENINSULAR,Hyderabad,2017,6
PENINSULAR,Kolkata,2017,6
NW,Mumbai,2017,3
WCR,Ahmedabad,2018,16
NE,Bangalore,2018,2
WCR,Chennai,2018,9
NW,Delhi,2018,15
PENINSULAR,Hyderabad,2018,5
PENINSULAR,Kolkata,2018,6
NW,Mumbai,2018,2
WCR,Ahmedabad,2019,20
NE,Bangalore,2019,3
WCR,Chennai,2019,9
NW,Delhi,2019,14
PENINSULAR,Hyderabad,2019,5
PENINSULAR,Kolkata,2019,8
NW,Mumbai,2019,2
PENINSULAR,Ahmedabad,2020,14
PENINSULAR,Bangalore,2020,2
NW,Chennai,2020,8
WCR,Delhi,2020,13
NE,Hyderabad,2020,4
WCR,Kolkata,2020,8
NW,Mumbai,2020,2
PENINSULAR,Ahmedabad,2021,14
PENINSULAR,Bangalore,2021,2
NW,Chennai,2021,8
WCR,Delhi,2021,13
NE,Hyderabad,2021,4
WCR,Kolkata,2021,8
NW,Mumbai,2021,2
